SRforSCF_08.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
10100, 0, 0, 1
10101, 0, 0, 1
10102, 0, 0, 1
10103, 0, 0, 1
10104, 0, 0, 1
10105, 0, 0, 1
10106, 0, 0, 1
10107, 0, 0, 1
10108, 2, 12, 1
10109, 12, 50, 1
10110, 38, 119, 1
10111, 50, 167, 1
10112, 2, 103, 1
10113, 12, 96, 1
10114, 17, 117, 1
10115, 12, 88, 1
10116, 10, 55, 1
10117, 17, 26, 1
10118, 0, 0, 1
10119, 0, 0, 1
10120, 0, 0, 1
10121, 0, 0, 1
10122, 0, 0, 1
10123, 0, 0, 1
10124, 0, 0, 1
10201, 0, 0, 1
10202, 0, 0, 1
10203, 0, 0, 1
10204, 0, 0, 1
10205, 0, 0, 1
10206, 0, 0, 1
10207, 0, 0, 1
10208, 7, 19, 1
10209, 29, 69, 1
10210, 29, 110, 1
10211, 29, 141, 1
10212, 33, 177, 1
10213, 122, 227, 1
10214, 62, 182, 1
10215, 67, 143, 1
10216, 79, 98, 1
10217, 93, 41, 1
10218, 2, 2, 1
10219, 0, 0, 1
10220, 0, 0, 1
10221, 0, 0, 1
10222, 0, 0, 1
10223, 0, 0, 1
10224, 0, 0, 1
10301, 0, 0, 1
10302, 0, 0, 1
10303, 0, 0, 1
10304, 0, 0, 1
10305, 0, 0, 1
10306, 0, 0, 1
10307, 0, 0, 1
10308, 17, 22, 1
10309, 33, 72, 1
10310, 55, 134, 1
10311, 81, 189, 1
10312, 93, 217, 1
10313, 55, 194, 1
10314, 172, 210, 1
10315, 36, 127, 1
10316, 33, 79, 1
10317, 7, 19, 1
10318, 0, 0, 1
10319, 0, 0, 1
10320, 0, 0, 1
10321, 0, 0, 1
10322, 0, 0, 1
10323, 0, 0, 1
10324, 0, 0, 1
10401, 0, 0, 1
10402, 0, 0, 1
10403, 0, 0, 1
10404, 0, 0, 1
10405, 0, 0, 1
10406, 0, 0, 1
10407, 0, 0, 1
10408, 10, 19, 1
10409, 14, 50, 1
10410, 5, 67, 1
10411, 7, 93, 1
10412, 10, 117, 1
10413, 17, 139, 1
10414, 33, 153, 1
10415, 14, 93, 1
10416, 5, 36, 1
10417, 5, 14, 1
10418, 0, 0, 1
10419, 0, 0, 1
10420, 0, 0, 1
10421, 0, 0, 1
10422, 0, 0, 1
10423, 0, 0, 1
10424, 0, 0, 1
10501, 0, 0, 1
10502, 0, 0, 1
10503, 0, 0, 1
10504, 0, 0, 1
10505, 0, 0, 1
10506, 0, 0, 1
10507, 0, 0, 1
10508, 36, 26, 1
10509, 60, 86, 1
10510, 17, 91, 1
10511, 2, 93, 1
10512, 2, 103, 1
10513, 60, 201, 1
10514, 131, 208, 1
10515, 454, 131, 1
10516, 98, 103, 1
10517, 43, 36, 1
10518, 2, 2, 1
10519, 0, 0, 1
10520, 0, 0, 1
10521, 0, 0, 1
10522, 0, 0, 1
10523, 0, 0, 1
10524, 0, 0, 1
10601, 0, 0, 1
10602, 0, 0, 1
10603, 0, 0, 1
10604, 0, 0, 1
10605, 0, 0, 1
10606, 0, 0, 1
10607, 0, 0, 1
10608, 2, 7, 1
10609, 0, 19, 1
10610, 2, 36, 1
10611, 7, 53, 1
10612, 7, 105, 1
10613, 7, 129, 1
10614, 5, 96, 1
10615, 7, 57, 1
10616, 2, 38, 1
10617, 2, 14, 1
10618, 0, 0, 1
10619, 0, 0, 1
10620, 0, 0, 1
10621, 0, 0, 1
10622, 0, 0, 1
10623, 0, 0, 1
10624, 0, 0, 1
10701, 0, 0, 1
10702, 0, 0, 1
10703, 0, 0, 1
10704, 0, 0, 1
10705, 0, 0, 1
10706, 0, 0, 1
10707, 0, 0, 1
10708, 24, 24, 1
10709, 260, 98, 1
10710, 131, 158, 1
10711, 65, 179, 1
10712, 165, 234, 1
10713, 31, 174, 1
10714, 17, 134, 1
10715, 10, 91, 1
10716, 41, 86, 1
10717, 103, 45, 1
10718, 2, 2, 1
10719, 0, 0, 1
10720, 0, 0, 1
10721, 0, 0, 1
10722, 0, 0, 1
10723, 0, 0, 1
10724, 0, 0, 1
10801, 0, 0, 1
10802, 0, 0, 1
10803, 0, 0, 1
10804, 0, 0, 1
10805, 0, 0, 1
10806, 0, 0, 1
10807, 0, 0, 1
10808, 14, 19, 1
10809, 74, 88, 1
10810, 14, 93, 1
10811, 7, 53, 1
10812, 0, 45, 1
10813, 7, 36, 1
10814, 7, 103, 1
10815, 29, 117, 1
10816, 14, 62, 1
10817, 12, 24, 1
10818, 2, 2, 1
10819, 0, 0, 1
10820, 0, 0, 1
10821, 0, 0, 1
10822, 0, 0, 1
10823, 0, 0, 1
10824, 0, 0, 1
10901, 0, 0, 1
10902, 0, 0, 1
10903, 0, 0, 1
10904, 0, 0, 1
10905, 0, 0, 1
10906, 0, 0, 1
10907, 0, 0, 1
10908, 19, 22, 1
10909, 81, 91, 1
10910, 38, 119, 1
10911, 24, 129, 1
10912, 14, 146, 1
10913, 12, 139, 1
10914, 26, 151, 1
10915, 53, 143, 1
10916, 33, 84, 1
10917, 146, 50, 1
10918, 2, 2, 1
10919, 0, 0, 1
10920, 0, 0, 1
10921, 0, 0, 1
10922, 0, 0, 1
10923, 0, 0, 1
10924, 0, 0, 1
11001, 0, 0, 1
11002, 0, 0, 1
11003, 0, 0, 1
11004, 0, 0, 1
11005, 0, 0, 1
11006, 0, 0, 1
11007, 0, 0, 1
11008, 10, 17, 1
11009, 38, 76, 1
11010, 246, 158, 1
11011, 72, 186, 1
11012, 65, 208, 1
11013, 33, 179, 1
11014, 127, 213, 1
11015, 131, 170, 1
11016, 22, 74, 1
11017, 29, 36, 1
11018, 2, 2, 1
11019, 0, 0, 1
11020, 0, 0, 1
11021, 0, 0, 1
11022, 0, 0, 1
11023, 0, 0, 1
11024, 0, 0, 1
11101, 0, 0, 1
11102, 0, 0, 1
11103, 0, 0, 1
11104, 0, 0, 1
11105, 0, 0, 1
11106, 0, 0, 1
11107, 0, 0, 1
11108, 22, 24, 1
11109, 36, 74, 1
11110, 93, 151, 1
11111, 155, 208, 1
11112, 461, 186, 1
11113, 499, 177, 1
11114, 495, 162, 1
11115, 463, 136, 1
11116, 401, 98, 1
11117, 253, 50, 1
11118, 2, 2, 1
11119, 0, 0, 1
11120, 0, 0, 1
11121, 0, 0, 1
11122, 0, 0, 1
11123, 0, 0, 1
11124, 0, 0, 1
11201, 0, 0, 1
11202, 0, 0, 1
11203, 0, 0, 1
11204, 0, 0, 1
11205, 0, 0, 1
11206, 0, 0, 1
11207, 0, 0, 1
11208, 234, 36, 1
11209, 392, 86, 1
11210, 366, 146, 1
11211, 158, 208, 1
11212, 232, 237, 1
11213, 461, 189, 1
11214, 497, 162, 1
11215, 473, 134, 1
11216, 404, 98, 1
11217, 275, 50, 1
11218, 2, 5, 1
11219, 0, 0, 1
11220, 0, 0, 1
11221, 0, 0, 1
11222, 0, 0, 1
11223, 0, 0, 1
11224, 0, 0, 1
11301, 0, 0, 1
11302, 0, 0, 1
11303, 0, 0, 1
11304, 0, 0, 1
11305, 0, 0, 1
11306, 0, 0, 1
11307, 0, 0, 1
11308, 232, 36, 1
11309, 177, 100, 1
