SRforSCF_06.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
10100, 0, 0, 1
10101, 0, 0, 1
10102, 0, 0, 1
10103, 0, 0, 1
10104, 0, 0, 1
10105, 0, 0, 1
10106, 0, 0, 1
10107, 2, 2, 1
10108, 119, 36, 1
10109, 418, 74, 1
10110, 633, 74, 1
10111, 573, 108, 1
10112, 490, 136, 1
10113, 679, 84, 1
10114, 387, 129, 1
10115, 122, 100, 1
10116, 134, 50, 1
10117, 36, 10, 1
10118, 0, 0, 1
10119, 0, 0, 1
10120, 0, 0, 1
10121, 0, 0, 1
10122, 0, 0, 1
10123, 0, 0, 1
10124, 0, 0, 1
10201, 0, 0, 1
10202, 0, 0, 1
10203, 0, 0, 1
10204, 0, 0, 1
10205, 0, 0, 1
10206, 0, 0, 1
10207, 0, 0, 1
10208, 203, 38, 1
10209, 50, 74, 1
10210, 36, 100, 1
10211, 31, 124, 1
10212, 29, 134, 1
10213, 33, 129, 1
10214, 55, 124, 1
10215, 425, 86, 1
10216, 349, 48, 1
10217, 19, 10, 1
10218, 0, 0, 1
10219, 0, 0, 1
10220, 0, 0, 1
10221, 0, 0, 1
10222, 0, 0, 1
10223, 0, 0, 1
10224, 0, 0, 1
10301, 0, 0, 1
10302, 0, 0, 1
10303, 0, 0, 1
10304, 0, 0, 1
10305, 0, 0, 1
10306, 0, 0, 1
10307, 0, 0, 1
10308, 17, 22, 1
10309, 17, 53, 1
10310, 17, 79, 1
10311, 19, 98, 1
10312, 14, 110, 1
10313, 7, 84, 1
10314, 2, 50, 1
10315, 2, 36, 1
10316, 5, 17, 1
10317, 2, 2, 1
10318, 0, 0, 1
10319, 0, 0, 1
10320, 0, 0, 1
10321, 0, 0, 1
10322, 0, 0, 1
10323, 0, 0, 1
10324, 0, 0, 1
10401, 0, 0, 1
10402, 0, 0, 1
10403, 0, 0, 1
10404, 0, 0, 1
10405, 0, 0, 1
10406, 0, 0, 1
10407, 0, 0, 1
10408, 17, 22, 1
10409, 17, 53, 1
10410, 14, 79, 1
10411, 17, 98, 1
10412, 19, 108, 1
10413, 17, 103, 1
10414, 14, 86, 1
10415, 14, 62, 1
10416, 17, 31, 1
10417, 2, 5, 1
10418, 0, 0, 1
10419, 0, 0, 1
10420, 0, 0, 1
10421, 0, 0, 1
10422, 0, 0, 1
10423, 0, 0, 1
10424, 0, 0, 1
10501, 0, 0, 1
10502, 0, 0, 1
10503, 0, 0, 1
10504, 0, 0, 1
10505, 0, 0, 1
10506, 0, 0, 1
10507, 2, 2, 1
10508, 136, 36, 1
10509, 117, 88, 1
10510, 251, 136, 1
10511, 471, 131, 1
10512, 151, 184, 1
10513, 194, 179, 1
10514, 368, 134, 1
10515, 492, 79, 1
10516, 385, 48, 1
10517, 55, 12, 1
10518, 0, 0, 1
10519, 0, 0, 1
10520, 0, 0, 1
10521, 0, 0, 1
10522, 0, 0, 1
10523, 0, 0, 1
10524, 0, 0, 1
10601, 0, 0, 1
10602, 0, 0, 1
10603, 0, 0, 1
10604, 0, 0, 1
10605, 0, 0, 1
10606, 0, 0, 1
10607, 2, 2, 1
10608, 394, 33, 1
10609, 583, 55, 1
10610, 686, 62, 1
10611, 550, 112, 1
10612, 645, 98, 1
10613, 738, 69, 1
10614, 456, 119, 1
10615, 624, 60, 1
10616, 447, 43, 1
10617, 55, 12, 1
10618, 0, 0, 1
10619, 0, 0, 1
10620, 0, 0, 1
10621, 0, 0, 1
10622, 0, 0, 1
10623, 0, 0, 1
10624, 0, 0, 1
10701, 0, 0, 1
10702, 0, 0, 1
10703, 0, 0, 1
10704, 0, 0, 1
10705, 0, 0, 1
10706, 0, 0, 1
10707, 0, 0, 1
10708, 38, 29, 1
10709, 22, 55, 1
10710, 222, 139, 1
10711, 33, 129, 1
10712, 19, 117, 1
10713, 17, 112, 1
10714, 17, 96, 1
10715, 22, 67, 1
10716, 19, 33, 1
10717, 2, 5, 1
10718, 0, 0, 1
10719, 0, 0, 1
10720, 0, 0, 1
10721, 0, 0, 1
10722, 0, 0, 1
10723, 0, 0, 1
10724, 0, 0, 1
10801, 0, 0, 1
10802, 0, 0, 1
10803, 0, 0, 1
10804, 0, 0, 1
10805, 0, 0, 1
10806, 0, 0, 1
10807, 2, 2, 1
10808, 311, 36, 1
10809, 561, 57, 1
10810, 669, 67, 1
10811, 710, 74, 1
10812, 717, 79, 1
10813, 707, 79, 1
10814, 679, 72, 1
10815, 366, 98, 1
10816, 399, 48, 1
10817, 36, 10, 1
10818, 0, 0, 1
10819, 0, 0, 1
10820, 0, 0, 1
10821, 0, 0, 1
10822, 0, 0, 1
10823, 0, 0, 1
10824, 0, 0, 1
10901, 0, 0, 1
10902, 0, 0, 1
10903, 0, 0, 1
10904, 0, 0, 1
10905, 0, 0, 1
10906, 0, 0, 1
10907, 2, 2, 1
10908, 74, 33, 1
10909, 81, 84, 1
10910, 373, 124, 1
10911, 554, 115, 1
10912, 664, 93, 1
10913, 318, 172, 1
10914, 626, 84, 1
10915, 487, 84, 1
10916, 241, 57, 1
10917, 55, 12, 1
10918, 0, 0, 1
10919, 0, 0, 1
10920, 0, 0, 1
10921, 0, 0, 1
10922, 0, 0, 1
10923, 0, 0, 1
10924, 0, 0, 1
11001, 0, 0, 1
11002, 0, 0, 1
11003, 0, 0, 1
11004, 0, 0, 1
11005, 0, 0, 1
11006, 0, 0, 1
11007, 2, 2, 1
11008, 351, 33, 1
11009, 571, 57, 1
11010, 669, 67, 1
11011, 717, 72, 1
11012, 633, 103, 1
11013, 628, 100, 1
11014, 530, 108, 1
11015, 442, 88, 1
11016, 320, 55, 1
11017, 112, 14, 1
11018, 0, 0, 1
11019, 0, 0, 1
11020, 0, 0, 1
11021, 0, 0, 1
11022, 0, 0, 1
11023, 0, 0, 1
11024, 0, 0, 1
11101, 0, 0, 1
11102, 0, 0, 1
11103, 0, 0, 1
11104, 0, 0, 1
11105, 0, 0, 1
11106, 0, 0, 1
11107, 2, 2, 1
11108, 349, 33, 1
11109, 538, 62, 1
11110, 643, 74, 1
11111, 268, 170, 1
11112, 588, 117, 1
11113, 256, 182, 1
11114, 81, 143, 1
11115, 349, 103, 1
11116, 124, 57, 1
11117, 36, 10, 1
11118, 0, 0, 1
11119, 0, 0, 1
11120, 0, 0, 1
11121, 0, 0, 1
11122, 0, 0, 1
11123, 0, 0, 1
11124, 0, 0, 1
11201, 0, 0, 1
11202, 0, 0, 1
11203, 0, 0, 1
11204, 0, 0, 1
11205, 0, 0, 1
11206, 0, 0, 1
11207, 2, 2, 1
11208, 385, 33, 1
11209, 576, 57, 1
11210, 681, 65, 1
11211, 722, 72, 1
11212, 731, 76, 1
11213, 633, 100, 1
11214, 182, 158, 1
11215, 413, 96, 1
11216, 392, 53, 1
11217, 160, 14, 1
11218, 0, 0, 1
11219, 0, 0, 1
11220, 0, 0, 1
11221, 0, 0, 1
11222, 0, 0, 1
11223, 0, 0, 1
11224, 0, 0, 1
11301, 0, 0, 1
11302, 0, 0, 1
11303, 0, 0, 1
11304, 0, 0, 1
11305, 0, 0, 1
11306, 0, 0, 1
11307, 2, 2, 1
11308, 313, 36, 1
11309, 581, 57, 1
