SRforSCF_05.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
10100, 0, 0, 1
10101, 0, 0, 1
10102, 0, 0, 1
10103, 0, 0, 1
10104, 0, 0, 1
10105, 0, 0, 1
10106, 0, 0, 1
10107, 36, 10, 1
10108, 382, 45, 1
10109, 542, 67, 1
10110, 621, 79, 1
10111, 650, 86, 1
10112, 659, 86, 1
10113, 638, 84, 1
10114, 588, 72, 1
10115, 399, 65, 1
10116, 57, 22, 1
10117, 0, 0, 1
10118, 0, 0, 1
10119, 0, 0, 1
10120, 0, 0, 1
10121, 0, 0, 1
10122, 0, 0, 1
10123, 0, 0, 1
10124, 0, 0, 1
10201, 0, 0, 1
10202, 0, 0, 1
10203, 0, 0, 1
10204, 0, 0, 1
10205, 0, 0, 1
10206, 0, 0, 1
10207, 36, 10, 1
10208, 366, 45, 1
10209, 502, 74, 1
10210, 576, 88, 1
10211, 609, 96, 1
10212, 607, 98, 1
10213, 593, 93, 1
10214, 217, 122, 1
10215, 248, 74, 1
10216, 55, 22, 1
10217, 0, 0, 1
10218, 0, 0, 1
10219, 0, 0, 1
10220, 0, 0, 1
10221, 0, 0, 1
10222, 0, 0, 1
10223, 0, 0, 1
10224, 0, 0, 1
10301, 0, 0, 1
10302, 0, 0, 1
10303, 0, 0, 1
10304, 0, 0, 1
10305, 0, 0, 1
10306, 0, 0, 1
10307, 36, 10, 1
10308, 423, 43, 1
10309, 578, 62, 1
10310, 671, 67, 1
10311, 690, 76, 1
10312, 698, 76, 1
10313, 686, 72, 1
10314, 628, 67, 1
10315, 497, 55, 1
10316, 301, 26, 1
10317, 0, 0, 1
10318, 0, 0, 1
10319, 0, 0, 1
10320, 0, 0, 1
10321, 0, 0, 1
10322, 0, 0, 1
10323, 0, 0, 1
10324, 0, 0, 1
10401, 0, 0, 1
10402, 0, 0, 1
10403, 0, 0, 1
10404, 0, 0, 1
10405, 0, 0, 1
10406, 0, 0, 1
10407, 55, 12, 1
10408, 447, 41, 1
10409, 602, 60, 1
10410, 686, 65, 1
10411, 717, 69, 1
10412, 719, 72, 1
10413, 707, 67, 1
10414, 657, 62, 1
10415, 516, 55, 1
10416, 334, 26, 1
10417, 0, 0, 1
10418, 0, 0, 1
10419, 0, 0, 1
10420, 0, 0, 1
10421, 0, 0, 1
10422, 0, 0, 1
10423, 0, 0, 1
10424, 0, 0, 1
10501, 0, 0, 1
10502, 0, 0, 1
10503, 0, 0, 1
10504, 0, 0, 1
10505, 0, 0, 1
10506, 0, 0, 1
10507, 2, 5, 1
10508, 24, 33, 1
10509, 122, 98, 1
10510, 189, 143, 1
10511, 105, 160, 1
10512, 17, 98, 1
10513, 55, 134, 1
10514, 124, 122, 1
10515, 93, 74, 1
10516, 57, 24, 1
10517, 0, 0, 1
10518, 0, 0, 1
10519, 0, 0, 1
10520, 0, 0, 1
10521, 0, 0, 1
10522, 0, 0, 1
10523, 0, 0, 1
10524, 0, 0, 1
10601, 0, 0, 1
10602, 0, 0, 1
10603, 0, 0, 1
10604, 0, 0, 1
10605, 0, 0, 1
10606, 0, 0, 1
10607, 2, 5, 1
10608, 14, 29, 1
10609, 12, 50, 1
10610, 10, 67, 1
10611, 7, 81, 1
10612, 5, 84, 1
10613, 7, 76, 1
10614, 10, 62, 1
10615, 12, 43, 1
10616, 14, 14, 1
10617, 0, 0, 1
10618, 0, 0, 1
10619, 0, 0, 1
10620, 0, 0, 1
10621, 0, 0, 1
10622, 0, 0, 1
10623, 0, 0, 1
10624, 0, 0, 1
10701, 0, 0, 1
10702, 0, 0, 1
10703, 0, 0, 1
10704, 0, 0, 1
10705, 0, 0, 1
10706, 0, 0, 1
10707, 2, 5, 1
10708, 24, 33, 1
10709, 17, 62, 1
10710, 17, 81, 1
10711, 14, 93, 1
10712, 194, 174, 1
10713, 280, 155, 1
10714, 119, 122, 1
10715, 19, 50, 1
10716, 26, 19, 1
10717, 0, 0, 1
10718, 0, 0, 1
10719, 0, 0, 1
10720, 0, 0, 1
10721, 0, 0, 1
10722, 0, 0, 1
10723, 0, 0, 1
10724, 0, 0, 1
10801, 0, 0, 1
10802, 0, 0, 1
10803, 0, 0, 1
10804, 0, 0, 1
10805, 0, 0, 1
10806, 0, 0, 1
10807, 2, 5, 1
10808, 17, 31, 1
10809, 10, 55, 1
10810, 7, 74, 1
10811, 7, 86, 1
10812, 10, 86, 1
10813, 12, 76, 1
10814, 17, 74, 1
10815, 53, 67, 1
10816, 17, 17, 1
10817, 0, 0, 1
10818, 0, 0, 1
10819, 0, 0, 1
10820, 0, 0, 1
10821, 0, 0, 1
10822, 0, 0, 1
10823, 0, 0, 1
10824, 0, 0, 1
10901, 0, 0, 1
10902, 0, 0, 1
10903, 0, 0, 1
10904, 0, 0, 1
10905, 0, 0, 1
10906, 0, 0, 1
10907, 36, 10, 1
10908, 337, 48, 1
10909, 538, 69, 1
10910, 612, 81, 1
10911, 643, 91, 1
10912, 647, 93, 1
10913, 631, 88, 1
10914, 593, 76, 1
10915, 468, 65, 1
10916, 153, 31, 1
10917, 0, 0, 1
10918, 0, 0, 1
10919, 0, 0, 1
10920, 0, 0, 1
10921, 0, 0, 1
10922, 0, 0, 1
10923, 0, 0, 1
10924, 0, 0, 1
11001, 0, 0, 1
11002, 0, 0, 1
11003, 0, 0, 1
11004, 0, 0, 1
11005, 0, 0, 1
11006, 0, 0, 1
11007, 36, 10, 1
11008, 315, 50, 1
11009, 468, 79, 1
11010, 435, 119, 1
11011, 377, 151, 1
11012, 377, 158, 1
11013, 26, 112, 1
11014, 91, 122, 1
11015, 399, 72, 1
11016, 222, 31, 1
11017, 0, 0, 1
11018, 0, 0, 1
11019, 0, 0, 1
11020, 0, 0, 1
11021, 0, 0, 1
11022, 0, 0, 1
11023, 0, 0, 1
11024, 0, 0, 1
11101, 0, 0, 1
11102, 0, 0, 1
11103, 0, 0, 1
11104, 0, 0, 1
11105, 0, 0, 1
11106, 0, 0, 1
11107, 55, 12, 1
11108, 428, 43, 1
11109, 595, 60, 1
11110, 674, 69, 1
11111, 707, 74, 1
11112, 710, 76, 1
11113, 700, 72, 1
11114, 647, 67, 1
11115, 533, 57, 1
11116, 325, 31, 1
11117, 0, 0, 1
11118, 0, 0, 1
11119, 0, 0, 1
11120, 0, 0, 1
11121, 0, 0, 1
11122, 0, 0, 1
11123, 0, 0, 1
11124, 0, 0, 1
11201, 0, 0, 1
11202, 0, 0, 1
11203, 0, 0, 1
11204, 0, 0, 1
11205, 0, 0, 1
11206, 0, 0, 1
11207, 36, 10, 1
11208, 425, 43, 1
11209, 588, 62, 1
11210, 657, 74, 1
11211, 690, 79, 1
11212, 700, 79, 1
11213, 679, 79, 1
11214, 638, 69, 1
11215, 516, 60, 1
11216, 332, 31, 1
11217, 0, 0, 1
11218, 0, 0, 1
11219, 0, 0, 1
11220, 0, 0, 1
11221, 0, 0, 1
11222, 0, 0, 1
11223, 0, 0, 1
11224, 0, 0, 1
11301, 0, 0, 1
11302, 0, 0, 1
11303, 0, 0, 1
11304, 0, 0, 1
11305, 0, 0, 1
11306, 0, 0, 1
11307, 19, 10, 1
11308, 377, 48, 1
11309, 526, 72, 1
